Title,Time,reporttype,Reviews,
Rated  for Endometriosis Report,Posted 19 months ago (7/27/2019),Report,I had this inserted on 11 July 2019. Insertion was uncomfortable but no worse than I expected and no where near labour pain which is what some seem to think. Within an hour I had a migraine - which I’d suffered from in the past but managed well for years. Come the afternoon I started spotting and bloated. It was new so I expected some kind of adjustment period. Days 3 and 4 were actually great. I felt good. Then day 5 the migraines started again and have barely stopped. I started bleeding on the 17 July and have not stopped. I don’t fit into any of my clothes I’m so bloated and I’m very very irritable. I understand this can rake longer than a couple of weeks for your body to adjust but I’m not prepared to do it. I’ve an appt 31 for removal but it’s not guaranteed. The nurse will be told it’s my body and I will not have anything in it that I do not want.,
Rated  for Birth Control Report,Posted 19 months ago (7/15/2019),Report,"I've just had my second Mirena done today - I actually had it done to relieve the pain associated with a benign tumor in my uterus (but easy contraception and virtually no bleeding is a bonus too!) Both times it's taken 3 goes to get it done (GP tried twice and then referred to a gyno) The first experience was horrible, but today I was referred to a place that does them assisted with an ultrasound - MUCH better than last time. I'd suggest to anyone who has difficulty having Mirena placed seek out somewhere that can use ultrasound.",
Rated  for Birth Control Report,Posted 19 months ago (7/10/2019),Report,"Hair loss I was devastated. Plus I heard it's harder to have children after you've had it. Plus your period is all thrown off and your not cleansing yourself smh. You want control, control who you open your legs too! Period.",
Rated  for Birth Control Report,Posted 20 months ago (7/5/2019),Report,I am going on 8 years of using Mirena so I am in the middle of my second one. I remember it feeling more uncomfortable and had cramps and a little spotting for the first month each time. Every once in a while I will get cramps but it has been great! I have it checked every now and again when I go to my yearly exams to make sure it is still in place (sometimes I do it myself and I can feel the string). I have enjoyed the freedom of mine!,
Rated  for Endometriosis Report,Posted 20 months ago (6/21/2019),Report,"So I had to get this after a D&C and it was painless. I was having extremely heavy periods, soaking through maxi pads every 30 minutes! I have severe anemia so I landed in the hospital needing 3 units of blood! I no longer have crazy heavy bleeding and not only that, but this is reversing some pre-endometrial cancer issues I was having before I got it. The only side effects I have felt have been some cramping, but that’s to be expected. 9/10, would recommend.",
Rated  for Endometriosis Report,Posted 20 months ago (6/17/2019),Report,"I had a Mirena inserted a month ago to assist with endometriosis. I’m 37 and haven’t had any children. The procedure was horrendous and I’ve not felt any pain like it, must be akin to childbirth. I cried and begged the gynaecologist to stop. Since insertion I’ve had spotting through to heavy bleeding daily and terrible cramps. I was also starting to lose my hair which is thin anyway. Today I had it removed and the pain had subsided straight away. I will never have it fitted again. Following my experience I’ve read up on it and don’t think it’s suitable for young child less women.",
Rated  for Contraception Report,Posted 20 months ago (6/16/2019),Report,"For the first year and 3 months, the Mirena coil was brilliant for me, then it turned everything around. I have now come out of surgery after experiencing an ectopic pregnancy with the coil in. I went to the doctors 3 times in 3 weeks with heavy bleeding and very painful stomach cramps to be told my coil had moved and never once did the doctor do a pregnancy test. Once ending up in a&e on Thursday evenin, I was confirmed pregnant & ended up having it confirmed Friday morning it was ectopic & I was operated on that afternoon. Be very careful. I swore by the coil until this has happened and now my emotions are turned upside down.",
Rated  for Contraception Report,Posted 20 months ago (6/16/2019),Report,I got my first Mirena at age 50 to help with heavy bleeding and pre-menopause symptoms. I have now had it for 2 years. I would have likely chosen this form of birth control many years before but previous ob/gyns did not want to insert one because I had never had children. I do think the insertion experience depends a lot on the expertise of the physician. I will admit it was rather uncomfortable having it put in but it is a quick process. I experienced mild cramping and slight spotting that first day or two then nothing thereafter. I was back to marathon training within a matter of days. If I could go back in time I would opt for the Mirena over the pill. I have not had a period or any spotting for 2 years. That has been wonderful!,
Rated  for Birth Control Report,Posted 20 months ago (6/16/2019),Report,"I have been using the more a for four months now. My reason for using it is that I have fibroids and her very heavy periods, bad pms- very teary, anxious, irrational etc- my life was miserable for 15 days a month. I have had two children and am 46. All of these symptoms have got worse since my children. The more a coil has changed my life. I feel normal again for the first time in years. The nurse who fitted it was very experienced and consequently, i didn't really feel much but had very slight cramping that night and he next day. I have had intermittent spotting and now have. Avery light period which is longer but so much lighter than they were. I haven't put on a load of weight nor have I become a hairy beast. Everyone is different but I am looking forward to having my life back for the next five years until the menopause comes.",
Rated  for Birth Control Report,Posted 20 months ago (6/13/2019),Report,I have had my Mirena for 6 weeks and I love it. I am 47 & got pregnant last year so definitely need birth control still. I also had some horrendous heavy bleeding from a fibroid recently (3 units of blood lost in a week - definitely wouldn’t survive losing blood at that rate!) I hate taking pills because my mood is too unstable on them & the depo injection made me gain a lot of weight. My Mirena was inserted by an obstetrician after a hysteroscopy so the insertion was nothing compared to what i’d already had done. Have had slight spotting on and off & maybe lost a bit more hair than usual but who cares. Thoroughly recommend.,
Rated  for Birth Control Report,Posted 20 months ago (6/11/2019),Report,"I chose mirena because of the options available for me being over 35 & a smoker were limited(iud,arm implant, or tubal). I had a normal period before. Mirena has been unnerving from insertion. I've had it 13 months now, with spotting pretty much none stop, severe cramping ,extreme lack of energy, very little libido and increased anxiety. My dr wants me to take pill for 3 months to see if that'll regulate the spotting but considering I'm 1/2 through the 3 months with no change. I will be getting it out and get ablation and a tubal ligation so I can drop all the hormones permanently and let nature take it's course from there.",
Rated  for Contraception Report,Posted 21 months ago (6/3/2019),Report,"I had a mirena inserted after a miscarrige D&C October 2015. It worked great had my monthly period (first few periods were longer and a bit more painful) but until maybe a year of having it I ended up getting stomach issues 2016. My stomach is still bad to this day. I had it removed and I have improved but not fully. I have recently had a second child and started the pill because issues with the mirena. 3 days of taking the pill I had the same stomach issues, I cannot take any hormonal contraception anymore. I am giving the copper IUD a go, fingers crossed it works for me. I don't want anymore kids!",
Rated  for Contraception Report,Posted 21 months ago (5/31/2019),Report,I have had my Mirena in for about 8 months and I absolutely love it!! The insertion process was very painful for me but I only had light spotting and cramping for the rest of that day. A week after my insertion I started spotting and this continued for a whole month so I was very frustrated at that point. After that month-long period everything settled and I’m very happy. I get light spotting and cramping for 2 days every 35 days and that’s it! I have noticed a little bit of weight gain and some acne but that might be attributable to eating lots of chocolate. It hasn’t affected my sex drive at all and it’s helped reduce chronic migraines. Would highly recommend!,
Rated  for Endometriosis Report,Posted 21 months ago (5/29/2019),Report,I had a severe heavy bleeding no pills were helping but my doctor said just try mirena. After it is inserted no bleeding not even for one day and my body was relaxed.no cramping nothing so relaxed i am,
Rated  for Birth Control Report,Posted 21 months ago (5/27/2019),Report,"I got my Mirena about 6 months ago. While getting the IUD was the most unbearable pain I’ve ever felt, it was worth it. The first day I didn’t move from bed, the cramps were out of this world. Day two & three were still uncomfortable but bearable. By day four the pain was gone. For the first 4 months I had very light spotting & little cramping about 2 or 3 times a week. After I hit 5 months I never bled or had cramps again. While the beginning wasn’t the best, this has been by far my favorite birth control! I haven’t had any weight gain, mood swings, periods, or pain during sex. The only thing I have to recommend about the Mirena is to take a pain killer before getting it.",
Rated  for Contraception Report,Posted 21 months ago (5/27/2019),Report,"I am 49 with adult children and about to get my third Mirena IUD, so clearly I’m a fan. INSERTION: Got my first in 2007 (age 37) and it was more uncomfortable than painful. I had mild intermittent cramping for ~24hrs - totally manageable and didn't require any adjustment to my normal schedule or activities. Had my second inserted around 5.5 yrs after the first. The removal/insertion combo was a bit more painful with cramps lasting intermittently for 2-3 days that time, though it wasn’t intolerable and the worst of it was over after a few hours. PERIODS: I had extremely heavy 7-10 day periods every month for most of my adult life, so in that regard Mirena has been a God-send to me. I had mild spotting for approx. 2 months after insertion of the first IUD and then absolutely nothing for ~12 yrs – hallelujah!! Well, that is until about 6 months ago. I started spotting again and it’s gotten a little worse each month, though still nothing like a normal period. I’m at 6.5 yrs since #2 was inserted, so not too surprising that the hormone levels and effectiveness are dwindling. I wasn’t sure I wanted a third, but after speaking with my Gyn I’ve decided to go for it and keep it unt",
Rated  for Birth Control Report,Posted 21 months ago (5/18/2019),Report,"I'm am 18 no kids and got mirena as a form of birth control. It was fine the first year,now that I'm going into my second year I'm having heavy bleeding ( I was told I wouldn't have a period at all) and unbearable cramps. I've heard terrible things about this particular IUD. I would love to get it out but I dont have insurance.",
Rated  for Birth Control Report,Posted 21 months ago (5/9/2019),Report,I’m on my second Mirena IUD (changed this year after 5 years). My experience has been great! I have no periods and only on occasion experience mild cramping during that time of month. The first time I got it inserted I was under anesthesia but the second time I was not. The insertion was slightly uncomfortable but the cramping seemed normal and only lasted a day. Otherwise I don’t feel the IUD and there is now no worry of missing a birth control pill. I would highly recommend.,
Rated  for Birth Control Report,Posted 22 months ago (5/7/2019),Report,"I had the most weight gain and was never able to lose even on a strict diet. I was also to feel it sitting, standing, and during sex. It was miserable and I don’t recommend it to anyone.","I got it for heavy menstrual bleeding. All the negative reviews are surprising. This has changed my life. Besides the abnormal bleeding which they + my ob/gyn warned about, it's been great. Haven't had a period for two months, which I thought was bad but the doctor said is fine and more research also confirmed that. So happy"
Rated  for Birth Control Report,Posted 22 months ago (5/5/2019),Report,"I got it for heavy menstrual bleeding. All the negative reviews are surprising. This has changed my life. Besides the abnormal bleeding which they + my ob/gyn warned about, it's been great. Haven't had a period for two months, which I thought was bad but the doctor said is fine and more research also confirmed that. So happy",
Rated  for Birth Control Report,Posted 22 months ago (5/3/2019),Report,"I would recommend that anyone with a predisposotion to mental illness think seriously before using a Mirena IUD. While I had Mirena I experienced severe, chronic suicidal ideation that peaked before my period. Although I have mental health problems I had never felt suicidal until Mirena. It took me years to connect the dots and finally decide to get it out (since as birth control it is so very convenient and effective). I got my Mirena out one month ago and am happy to say that I am having a healthy period and normal pms free of suicidal thoughts. For some reason this side effect is information my doctor left out pre-insertion, despite knowing my history. I'm not recommending against this product, but I do wish there were greater awareness around this very intense and troubling side effect. If you get Mirena, stay in check with yourself if you think you are at all vulnerable to an experience like mine.",
Rated  for Birth Control Report,Posted 22 months ago (5/1/2019),Report,"So I got mirena in three weeks ago.... Most painful thing I've ever had. And I have had two types of abortions and this is certainly worse that both. I was in pain for days afterwards. A week after I was fine and a week after than I contracted not only a UTI (which I have only ever had one other time in my life) but extreme constipation. I was also experiencing pain in the muscles in thr back of my eyes, leg cramps at night, couldn't eat any thing. Tired. Sore. Just literally miserable. I was treated for the UTI but still having issues doing #1 & #2. Have to take over the counter pills for both issues or I cannot go. Im now so uncomfortable and depressed. I am bloated 24/7. I used to work out and be happy before I got it in. Literally the only thing that I did was get it IUD and then all these issues came after. I'm seriously thinking about getting it out.",
Rated  for Endometriosis Report,Posted 22 months ago (4/25/2019),Report,"I have had the mirena for almost 3 years, I was having heavy periods and that is why I chose that device. the first 8 months was a little irregular and bothersome since periods became more irregular, but they finally stopped. I have mood swings and irritability , but not severe, I also gained 15 pounds in three years, but I am 50 years old and all that could be part of my menopause. Over all, I have been happy with having it. I do not feel it at all and have no periods. my only concern with this device is weight gain, but like I said, it could be my age, I wish I knew if the Mirena was or was not the reason of those symptoms.",
Rated  for Birth Control Report,Posted 22 months ago (4/23/2019),Report,"I had my mirena removed last week. This was my second mirena - the first of which I left in longer than it’s effective lifespan (6 years). This second mirena I had removed after only one year due to side effects. The insertion of this second mirena was excruciating - maybe that should have been a sign. Following insertion, I felt like I was being poked - pretty severely from time to time - from the inside out. This was despite a completely normal placement of the device according to an ultrasound performed a few weeks after insertion. My partner said it didn’t feel like it was in place correctly - he could feel it more than usual. On top of being uncomfortable, I’ve been down right depressed for the past year - seriously. Maybe it’s not the mirena, but only time will tell. I’m so happy I had it removed!",
Rated  for Endometriosis Report,Posted 22 months ago (4/22/2019),Report,"Hi, I have had the Mirena in 3 times. The first time was amazing, no bad side effects and it was put in under anesthetic. Had no cramps or bleeding in 5 years and my endo and cysts had gone. Second time it was ok for a while then it dislodged from my body and stopped work (however I didn’t know this) my cysts grew to the sizes of oranges and my endo grew back so it was very painful. I had it taken out and had a break for a few years. I had another put in with my local Dr, OMG the pain was unbearable I vomited, and was in horrific pain for 4 days. I bled every day for 6mths, then they put me on the pill which stopped the bleeding. I’ve put on 12kgs in a year, and felt depressed, bloated, sore and just not right. I’m having the Mirena removed tomorrow after several attempts to get the Drs to take it out.. Enough is enough!! I’m scared to get it out though, I’ve heard horrible painful stories..",
Rated  for Contraception Report,Posted 22 months ago (4/21/2019),Report,"I had the mirena coil for 3 years - at first I had a mild yeast like infection but then breezed through with no periods and what I thought minimal side effects. HOWEVER throughout this time I starting getting severe (and I mean severe) sinus infections, I had never had them before and over the 2.5 years they progressively got worse and worse. They started to have a hugely detrimental affect on my physical and mental state as I was simply ill every month. I hadn’t registered that these could be related to the coil - there is limited research online but I did find some evidence linking mirena To upper respiratory tract infections. Also my doctor pretty much said it was not connected given the low level release from the could BUT having had the coil out for 2+ months and no sinus infections I know it was connected and am flabbergasted I went through so much misery before realising. Please don’t suffer as long as i did!",
Rated  for Endometriosis Report,Posted 22 months ago (4/16/2019),Report,"I had Mirena put in after experiencing extremely heavy periods after pregnancy... would soak through a maxi pad within a couple hours. I also had painful insertion of any type. I wasn’t sexually active but the internal ultrasounds were not fun. My periods at the time lasted 5-7 days with them being very heavy the first 3-5. I got the Mirena put in under anesthesia bc I needed a D&C And hysteroscopy for significant thickening of my uterine wall. I had bad cramps for 2-3 weeks. Then I only got them with my period, but also got body aches and queasiness that would result in vomiting. It’s been 4 months. I have been out of work pretty much every month for menstrual related sickness. It’s that debilitating. I also have gained 20lbs, and I spot for nearly 2 weeks after my period. It did stop the painful intercourse, and slowed down the heaviness of my period some, but the body aches, cramps, chills, queasiness/vomiting I get is not worth it. I’m upset bc I really needed something especially for the thickening of my uterus. This just isn’t it... going to ask to have it removed at my next gyn appointment. Not looking forward to the pain I’m reading about.",
Rated  for Birth Control Report,Posted 23 months ago (4/7/2019),Report,"I had this IUD for 11 months and it was the worst 11 months of my life. I got it after my boyfriend and I had a pregnancy scare and it’s a very effective contraceptive but the way it made me feel was unbearable. I never got crazy bad cramps during my period but once I got this put in I had unbearable cramps every day, not just during my periods. I got bloated and gained 30 pounds with no change to my diet or exercise routine. I tried eating healthier and exercising more to lose the weight but none of it would come off. I have a high sex drive and this depleted it. I got it removed a week ago and I feel so much better. I’m still waiting for the hopeful weight loss but I’m not bloated anymore, I haven’t had a single cramp in a week and IM ON MY PERIOD, and I just feel more awake and comfortable. Everyone’s body will react differently to this drug but I would say don’t try it. It’s not worth the pain.",
Rated  for Endometriosis Report,Posted 23 months ago (3/30/2019),Report,Doctor suggested I insert mirena to treat heavy periods. Since i didn’t have children I had it inserted by obgyn and it was extremely painful. Worst pain i ever experienced. I felt cramps all day that day and kept taking strong pain killers every 2 hours. Early in the morning next day I woke up from severe pain in my belly. I took another pain killer and went straight to the doctor and got it removed. Awful experience. Totally do not recommend it.,
Rated  for Birth Control Report,Posted 23 months ago (3/19/2019),Report,"I had the mirena placed around 2 this afternoon after having a pap smear, I must say having it placed was quite uncomfortable, not painful, but just alot of pressure and cramping. I continued to have some mild cramping the rest of the day, but nothing too bad. I have had the mirena once before after I had my first child and never had any complications with it! I had it removed a couple months later only because my husband would complain about being able to feel the strings. Other than his complaints about the strings, I personally had no side effects or issues with the mirena. Just be prepared after having it place to take it easy, take some tylenol or advil, a warm bath, and a heating pad! The first couple days will feel like the beginning of your period, but after that you will forget about it even being there! I highly recommend the mirena if you have at least one child, or suffer from heavy menstrual bleeding.",
Rated  for Endometriosis Report,Posted 23 months ago (3/17/2019),Report,I had mirena for a little over a year and experienced everything others are saying it was horrible I was so tired headaches all the time and very nasty mood swings depression and anxiety that I never had before after getting it taken out I bleed for almost a year straight I am currently on my third obgyn bc I know something is still after they got the bleeding to stop I now don't get a period at all,
Rated  for Birth Control Report,Posted 23 months ago (3/15/2019),Report,"I was using Mirena for birth control, and every month it was a yeast infection or a UTI. Needless to say I was pretty uncomfortable. I got it out two days ago and feel SO much better.",
Rated  for Birth Control Report,Posted 23 months ago (3/14/2019),Report,"I had it in twice in 12 years. First one, for 3 and a half years, second for a little over 2. Awful! Got a lot of migraines - very unusual for me, got into depression, felt really low, had panic attacks, gained weight, lost hair, suffered from PMS a lot, lost libido, lost energy, felt really tired in and out. The overall health got really bad. I would advise everyone: girls, try some other options, this one isn’t worth it.",
Rated  for Birth Control Report,Posted 23 months ago (3/12/2019),Report,Woah! Big difference just in one day taking it out! I got this right after my baby in December 2018. I definitely experienced anger and unrational thinking. I also have a pretty good sex drive and that diminishing was pretty interesting! I finally took it out yesterday and I literally felt an immediate relief. Finally feel like I’m not a loony toone! Lol,
Rated  for Endometriosis Report,Posted 23 months ago (3/11/2019),Report,The reason my girlfriend had to use the Mirena device is not even listed. It was for an excessive menstruation cycle she was experiencing. My comment may get deleted because I am a male and I am obviously not using the device but let me tell you as the boyfriend it has not been a great experience. She started getting these migraines that she never had before. She is always in a mood and snapping at everything and I have to walk around on eggshells. Not to mention she has gained a lot of weight that I hear about constantly that she can't get off. She has been exercising and dieting like mad. And on top of that not to be shallow I just don't want an overweight girlfriend.,
Rated  for Birth Control Report,Posted 23 months ago (3/10/2019),Report,"Have the mirena a little over 2 years now and it has been the worst decision i ever made,all was well the 1st year and then it went downhill from there,i get period twice a month with some spotting inbetween,very low sex drive,mood swings,feeling tired all the time and feeling very low,i definitely do not recommed it and will be looking to get it removed asap!!",
Rated  for Postcoital Contraception Report,Posted 23 months ago (3/10/2019),Report,I don’t recommend it at all the worst experience in my life I put it on there March 4 and I remove it March 6 the worst week of my life If I could put zeros * I will,
Rated  for Endometriosis Report,Posted 24 months ago (3/9/2019),Report,"I had the Mirena IUD in me for three months. It caused me to bleed every day, severe stomach swelling and pain where I could not walk or touch my stomach. I bled heavier on my period and it made my period come sooner, 28 days to 14 days. The pain, pressure, and swelling was worse on my period and I could only eat a half cup of food. If I ate anything more I had breathing problems. I was unable to bend over and touch my toes or tie my shoes. I went down four notches on my belt and had trouble fitting my clothes. After one hour after the removal of my IUD mirena, my stomach pain / pressure went away and I could walk and touch my stomach. I could bend over and touch my toes. My entire body felt normal and I could fit my clothes. My doctor told me Mirena does not cause any side effects and I had problems getting my obgyn doctor to remove it.",
Rated  for Birth Control Report,Posted 24 months ago (3/8/2019),Report,"First I got the Mirena inserted in the summer I had really bad cramps after it being inserted, I was not able to return to work. A few months later I started getting severe Cystic Acne on my face it was so painful and awful. I cut out dairy from my diet which helped a lot. But then I started to notice acne on my back, which I never had before in my life.... It is so painful and itchy. I refuse to go out in public with my back exposed it is so bad, which has really affected my self esteem. I decided to have the Mirena removed after talking to my naturopath after she advised that it was a common side effect. I am really dissapointed as I paid for this IUD with my personal money as my insurance did not cover for it. I had to get it removed before even a year of having it. It is not for every women and I DO NOT recommend it. I just feel like bawling my eyes out just looking at my back in the mirror!!!!!","I just got the Mirena inserted a half hour ago and I just wanted to say it was not nearly as bad as I expected. I went in expecting it to be pretty painful. If I had to estimate, I'd say it was a 4-5 out of 10 (10 being worst ever pain) on the pain scale. I have never had kids and I am under 20 y/o. I took acetaminophen 45-60 mins prior and was not given a cervical medicine the night before. The woman performing was very young and inexperienced, but had a more experienced doctor talk her through it. I was scared for so many reasons, one being that she is inexperienced and I have never given birth, but it was honestly NOT THAT BAD. I made some noises (pretty uncontrollable) throughout, but it was moreso uncomfortable than painful. If you've had bad cramps, it's like that but with more pulling and tugging. If it helps, just remember it's a full feeling not a painful/sharp feeling. If your doctor recommends it, just have an open mind, the feeling is weird but not terrible I promise. I'll update if I have any side-effects or issues"
Rated  for Birth Control Report,Posted 24 months ago (3/7/2019),Report,"I just got the Mirena inserted a half hour ago and I just wanted to say it was not nearly as bad as I expected. I went in expecting it to be pretty painful. If I had to estimate, I'd say it was a 4-5 out of 10 (10 being worst ever pain) on the pain scale. I have never had kids and I am under 20 y/o. I took acetaminophen 45-60 mins prior and was not given a cervical medicine the night before. The woman performing was very young and inexperienced, but had a more experienced doctor talk her through it. I was scared for so many reasons, one being that she is inexperienced and I have never given birth, but it was honestly NOT THAT BAD. I made some noises (pretty uncontrollable) throughout, but it was moreso uncomfortable than painful. If you've had bad cramps, it's like that but with more pulling and tugging. If it helps, just remember it's a full feeling not a painful/sharp feeling. If your doctor recommends it, just have an open mind, the feeling is weird but not terrible I promise. I'll update if I have any side-effects or issues",
Rated  for Contraception Report,Posted 24 months ago (3/7/2019),Report,"I've been on this type of birth control for a few weeks now, so far it's been great for me up until this afternoon, bad cramping at work. I hope it goes away.",
Rated  for Birth Control Report,Posted 24 months ago (3/5/2019),Report,"I've had my Mirena for 2 years now. I've had it placed for birth control and to control my PCOS. This has honestly saved my life. My periods have stopped, my cramps have subsided significantly, I don't have to worry about birth control, and this is the only birth control I have tried that does not raise my triglycerides, which I have to worry about as a diabetic. This is definitely not the best option for everyone but definitely talk to your doctor about this if you are considering a long term birth control option.",
Rated  for Birth Control Report,Posted 24 months ago (3/4/2019),Report,Almost 8 months of having this IUD inserted I’m having it removed in two days. First the pros effective for not getting pregnant. Now the cons since having Mirena I’ve not only had uncontrollable mood swings I’ve also put on a whopping 25 pounds with no change in diet or exercise routine. For the past 2 and a half months I’ve been desperately trying to lose the 25 pounds I put on to no avail! I’ve went as far to change my diet to be more strict and clean even threw a personal trainer into the mix to help kick me back into shape. Nothing I have tried has worked! I can’t wait to have this device removed but I will miss the reassurance knowing I wouldn’t get pregnant nor would be while on it.,
Rated  for Endometriosis Report,Posted 24 months ago (3/2/2019),Report,Hi all I’m thinking getting Mirena put in by my doctor had tubal ligation done and after that I haven’t been the same my periods are so heavy I get really moody and Angry which I have no control over I’m on the pill but sometimes it dose the job and other times it doesn’t not sure what to do here?? any advice would help ??,
Rated  for Contraception Report,Posted 24 months ago (3/1/2019),Report,"With all the negative reviews on here I have to say my experience with the Mirena has only been pleasant. I had my first one taken out today and another one inserted immediately. I honestly thought I would have an unpleasant experience taking it out and have one inserted immediately but I have to say that it was good. During extraction, I hardly even felt anything and during insertion just a sharp period like pain that goes away as fast as it came. I have to also include that my gynae, Dr Lood Labuschagne is the reason for my good experience. I would definitely recommend every woman to use this contraception method as I had absolutely no side effects (periods also disappeared). Now tell me, how can I not be happy. Thanks Mirena",
Rated  for Birth Control Report,Posted 24 months ago (2/27/2019),Report,"I am 43 yr old woman with 3 children. I got on Mirena about 3 1/2 years ago to help control heavy periods and extreme cramping. I noticed that my hair started getting thinner and thinner within the last year. Started taking vitamins for hair, skin and nails. My face and skin is blotchy, acne increased. Mood swings, irritability and aggressive behavior was off the charts. No sex drive, and still cramping. Extremely sporadic light flow 4-5 day of the month. Discharge or smell will not go away, no matter what I did. LOOSING YOUR HAIR IS NOT WORTH IT- I WOULD RATHER FIND AN ALTERNATIVE OPTION!",
Rated  for Birth Control Report,Posted 24 months ago (2/24/2019),Report,"The mirena was great with controlling my periods, my terrible cramps, & preventing pregnancy BUT while using it both times I had constant horrible cystic acne, weight gain, & poor to absolutely no libido. After a mth of having it removed I've lost those 10-15lbs, my acne is resolving, & my libido is back! I know all medications have side effects. It helped with the dysmenorrhea, menorrhagia, & preventing pregnancy BUT I'm extremely happy with having it removed!",
Rated  for Birth Control Report,Posted 24 months ago (2/21/2019),Report,"I chose to take Mirena because I could not seem to find a pill that would work for me. I got Mirena put in in October, and almost instantly I began gaining weight. I started to lose hair, my depression got worse and I still decided to give it a chance. Over the five month span I had it, I gained 10 lbs a month with no change in diet. I had it removed yesterday and I’m hoping for the best but I would not recommend this to anyone EVER",
Rated  for Contraception Report,Posted 24 months ago (2/21/2019),Report,"I had the IUD in for 5 years and I thought it was wonderful because i never had a period. After more research I realized my acne problems and hair loss was because of the Mirena. I had them remove and the doctor tried to convince to [put another one in, but I refused. It's now been been almost 5 months and I feel so much more mentally and emotionally healthier. I didn't even correlate my mental health with the Mirena. I had to go on anxiety medication and antidepressant last year. I felt like I was losing my mind. I enjoyed nothing, was sad, very anxious all the time. I did not enjoy sex. My medication made my symptoms worse, so I stopped after a couple of months. It wasn't until I had the IUD removed and it was a couple months later when I felt SO MUCH BETTER!! Never again will I use an IUD again or anything hormonal. And for anyone reading this and thinking they will use the Copper IUD since it doesn't have hormones. Look into copper in your body, it is bad for you too.",
Rated  for Birth Control Report,Posted 24 months ago (2/18/2019),Report,"This can cause hormone imbalance or estrogen dominance (which evidently manifests itself in symptoms like.. and i quote ""consistent sadness, hopelessness, and / or anxiety, mood swings & irritability, trouble concentrating, feeling of always being tired, excessive sleeping or insomnia, changes in appetite, loss of interest in once enjoyable actives and finally, thoughts of suicide”. The sex hormones used in the mirena - estrogen and progesterone - impact emotional and cognitive processing (which then impacts your ability to regulate your mood). I haven’t been able to control my emotions!!! It’s like im in a constant state of pregnant woman hysteria. A lawyer will never touch this and your doctors will push it relentlessly becuase they are being paid to do so. Please read up and evaluate whether this is right for you - for me the emotional implications have been severe and I cannot wait to get this demonic thing out of my damn uterus.",
Rated  for Birth Control Report,Posted 24 months ago (2/18/2019),Report,"Well the Mirena does it's job by keeping you from getting pregnant and YES EVRYONE is different, I had mine for a year and just got it out last week. but here are the cons of the Mirena... 1. It made me get really bad acne (And I havent had acne since i was a teen!) 2. You get mild cramps every now and then. 3. Period was allover the place. I would have it one month then I would skip a month then have it twice a month sometimes. All in all the acne for me just wasnt worth having the mirena. Its been a little over a week that I have gotten it taken out and My skin is back to normal.",
Rated  for Birth Control Report,Posted 24 months ago (2/17/2019),Report,"I have several small and mid-size fibroids and having heavy periods. Also have chronic back pain so right before periods, my back gets worse with flare ups. My gynocologist in LA (who works for the reputable university hospital) recommended Mirena as if it's a miracle and did not disclose any side effects even when asked. I went through anesthesia to have it inserted due to vasa vagal which will cost me alot of $$. After insertion, i had nausea, bleeding for days, sudden headaches, cramping, sharp back pain and fainted 3 days post insertion while walking my pet. Its been 4 days now and still bleeding. I then started review of all lawsuits and blogs, and studies claiming increase risk of breast cancer, so now sickened about why my doctor whom I trusted so much did not bother to even mention that there have been serious side effects reported to the FDA. There have been thousands of reports, and so many lawsuits and settlements! I will have it removed asap! Which is worse: risk your life with so many life threatening ailments or have heavy periods? How dare doctors recommend this as if like a miracle!?! Discusting at best!",
Rated  for Endometriosis Report,Posted 24 months ago (2/14/2019),Report,"Had every type of pill prior to my first child. After he was born, Mirena was recommended to me by my OBGYN and it was the best thing ever. No periods once inserted which means no debilitating pain or strong pain killers every month and only minor discomfort every year when the dosage decreases. When we decided to to try for a 2nd , only took a couple of months after removal before i was pregnant with our 2nd child. I recommend this to anyone who is able to get it. Best experience ever.",
Rated  for Birth Control Report,Posted 24 months ago (2/14/2019),Report,"So I have had the Mirena in for four grueling months. I had it put in and had severe cramping for 30+ minutes, it went away after a few Advil but it definitely knocked me out of my rhythm for the day and I ended up in bed sleeping it off for a while. The past four months I have had non-stop bleeding/spotting and heavy mucus. I went and got an ultrasound to check the placement and nothing was wrong, so I decided to ride it out and see if it gets any better. I have had severe mood changes, I get agitated and angry over the smallest thing, when before I was a very go-with-the-flow kinda person. My depression circled back around, which hadn't happened since I started and stopped the pill when I was 18-19. If you can get through the constant bleeding and pain,then maybe it's worth it, but I wouldn't recommend it.",
Rated  for Contraception Report,Posted 24 months ago (2/14/2019),Report,"I was 17 when I had it placed. I had been having AWFUL periods as of late, very heavy, very painful. My mother had two Mirena IUDs placed before and they have worked wonderfully for her, so she thought that I should receive one as well to treat my periods and for birth control! The day of the placement was a bit painful. I had bad cramps, to begin with, the IUD placement was like a really bad cramp. I had psyched myself up to that point and thought I was going to die -- my anxiety put me in more pain than was necessary. Take a breath! It barely took THREE MINUTES for my doctor to measure and place my IUD. She was noticeably experienced. After I got it placed I bled very heavily, like a usual period. I continued to bleed for approximately five months. Sometimes it was heavy, sometimes it was light. I have had the IUD coming up on two years and all my bleeding has virtually stopped. I sometimes experience light bleeding, NOTHING compared to before. I totally recommend Mirena for peace of mind, relief for pain, and for easy convenience. It is totally effective for preventing pregnancy. GET IT!",
